year,plot,stake,species,abundance
1995,21,15,Hapl grac,14
1995,21,15,Hapl grac,14
1995,21,31,Hapl grac,1
1995,21,31,Hapl grac,1
1995,21,33,Hapl grac,1
1995,21,33,Hapl grac,1
1995,21,51,Hapl grac,6
1995,21,51,Hapl grac,6
1995,21,53,Hapl grac,3
1995,21,53,Hapl grac,3
1995,21,71,Hapl grac,1
1995,21,71,Hapl grac,1
1995,21,75,Hapl grac,1
1995,21,75,Hapl grac,1
1995,22,11,Hapl grac,2
1995,22,11,Hapl grac,2
1995,22,13,Hapl grac,3
1995,22,13,Hapl grac,3
1995,22,15,Hapl grac,6
1995,22,15,Hapl grac,6
1995,22,31,Hapl grac,8
1995,22,31,Hapl grac,8
1995,22,33,Hapl grac,1
1995,22,33,Hapl grac,1
1995,22,35,Hapl grac,3
1995,22,35,Hapl grac,3
1995,22,51,Hapl grac,1
1995,22,51,Hapl grac,1
1995,22,53,Hapl grac,7
1995,22,53,Hapl grac,7
1995,22,55,Hapl grac,1
1995,22,55,Hapl grac,1
1995,22,57,Hapl grac,2
1995,22,57,Hapl grac,2
1995,22,71,Hapl grac,1
1995,22,71,Hapl grac,1
1995,22,73,Hapl grac,4
1995,22,73,Hapl grac,4
1995,22,75,Hapl grac,3
1995,22,75,Hapl grac,3
1995,22,77,Hapl grac,1
1995,22,77,Hapl grac,1
1995,23,13,Hapl grac,1
1995,23,13,Hapl grac,1
1995,23,17,Hapl grac,6
1995,23,17,Hapl grac,6
1995,23,31,Hapl grac,1
1995,23,31,Hapl grac,1
1995,23,53,Hapl grac,5
1995,23,53,Hapl grac,5
1995,23,55,Hapl grac,2
1995,23,55,Hapl grac,2
1995,23,73,Hapl grac,1
1995,23,73,Hapl grac,1
1995,23,75,Hapl grac,1
1995,23,75,Hapl grac,1
1995,23,77,Hapl grac,1
1995,23,77,Hapl grac,1
1995,24,15,Hapl grac,1
1995,24,15,Hapl grac,1
1995,24,17,Hapl grac,1
1995,24,17,Hapl grac,1
1995,24,35,Hapl grac,2
1995,24,35,Hapl grac,2
1995,24,37,Hapl grac,2
1995,24,37,Hapl grac,2
1995,24,51,Hapl grac,2
1995,24,51,Hapl grac,2
1995,24,55,Hapl grac,5
1995,24,55,Hapl grac,5
1995,24,73,Hapl grac,1
1995,24,73,Hapl grac,1
1995,3,57,Kall gran,1
1995,16,17,Kall gran,1
1995,21,77,Kall gran,1
1995,1,15,Mach tanr,2
1995,7,51,Mach tanr,1
1995,9,57,Mach tanr,1
1995,10,55,Mach tanr,1
1995,11,11,Mach tanr,1
1995,13,13,Mach tanr,1
1995,18,53,Mach tanr,1
1995,19,15,Mach tanr,1
1995,19,31,Mach tanr,1
1995,19,33,Mach tanr,1
1995,20,55,Mach tanr,1
1995,22,31,Mach tanr,1
1995,22,73,Mach tanr,4
1995,23,57,Mach tanr,2
1995,24,15,Mach tanr,2
1995,24,71,Mach tanr,1
1995,16,37,Moll cerv,2
1995,21,31,Moll cerv,1
1995,2,31,Moll vert,1
1995,2,51,Moll vert,1
1995,16,11,Pani ariz,1
1995,20,75,Pani ariz,2
1995,1,71,Pani hirt,1
1995,1,71,Pani hirt,1
1995,1,73,Pani hirt,1
1995,1,73,Pani hirt,1
1995,2,17,Pani hirt,1
1995,2,17,Pani hirt,1
1995,5,75,Pani hirt,1
1995,5,75,Pani hirt,1
1995,15,35,Pani hirt,3
1995,15,35,Pani hirt,3
1995,4,11,Port parv,1
1995,2,31,Sida spin,2
1995,3,17,Sida spin,1
1995,3,57,Sida spin,2
1995,4,17,Sida spin,1
1995,7,31,Sida spin,1
1995,7,51,Sida spin,1
1995,8,75,Sida spin,1
1995,10,17,Sida spin,1
1995,10,51,Sida spin,1
1995,10,53,Sida spin,1
1995,10,55,Sida spin,1
